"ITI","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_trig","condtrigtime","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_instructions_1","correct_new_keyboard_response_1","count_BA_m21","count_ITI","count_blank_screen","count_blink_screen","count_block1","count_break1","count_break2","count_break3_1","count_canvas","count_correct_trigger","count_def_chain","count_end_screen","count_fixation_1","count_getting_started","count_inc_counter","count_incorrect_trigger","count_instructions_1","count_logger","count_logscript","count_new_coroutines","count_new_inline_script","count_new_keyboard_response_1","count_reset_counter_prep","count_reset_counter_run","count_responsescreen","count_sequence","count_start_trigger","count_target_present","count_word_trigger","counter","cresp","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break1","response_break2","response_break3_1","response_end_screen","response_instructions_1","response_new_keyboard_response_1","response_time","response_time_break1","response_time_break2","response_time_break3_1","response_time_end_screen","response_time_instructions_1","response_time_new_keyboard_response_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","targ_type","target","time_BA_m21","time_ITI","time_blank_screen","time_blink_screen","time_block1","time_break1","time_break2","time_break3_1","time_canvas","time_correct_trigger","time_def_chain","time_end_screen","time_fixation_1","time_getting_started","time_inc_counter","time_incorrect_trigger","time_instructions_1","time_logger","time_logscript","time_new_inline_script","time_new_keyboard_response_1","time_reset_counter_prep","time_reset_counter_run","time_responsescreen","time_sequence","time_start_trigger","time_target_present","time_word_trigger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_trig"
"400","0","0","994","994","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","66938","1000","0.0149391974663","0","undefined","0","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","0","0","0","0","NA","0","NA","0","0","0","0","0","0","0","0","1","z","02/01/18 15:27:24","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","0","0","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-123.csv","xpyriment","Jazzy James","3.1.4","0","None","NA","NA","NA","NA","return","None","994","NA","NA","NA","NA","242242","994","2","legacy","1024","2","48000","-16","BA_m21","123","odd","FILL_NW","VELT","1386","246481","244897","NA","243636","NA","NA","NA","NA","NA","245394","NA","244398","NA","244318","246475","1394","246881","NA","NA","245481","1386","1386","245872","244318","1386","245481","246881","morph21_Oliver/Morris","0","994","1","yes","1280","46"
"350","0","0","992.5","992.5","black","no","xpyriment","legacy","legacy","0","203","NA","uniform","63141","1000","0.0158375698833","0","undefined","0","0","1","1","1","0","1","1","1","NA","1","1","0","1","NA","1","1","0","1","NA","1","NA","1","0","0","1","1","0","1","1","2","z","02/01/18 15:27:24","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","1","1","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-123.csv","xpyriment","Jazzy James","3.1.4","0","None","NA","NA","NA","NA","return","None","991","NA","NA","NA","NA","242242","991","2","legacy","1024","2","48000","-16","BA_m21","123","odd","NW_S_COMP","WELDIG","1386","249723","248139","NA","243636","NA","NA","NA","NA","NA","248636","NA","247639","NA","247636","249714","1394","250073","NA","NA","248723","1386","1386","249114","247636","1386","248723","250073","morph21_Oliver/Morris","0","1985","2","yes","1280","21"
"300","33.3333333333","33.3333333333","917.666666667","917.666666667","black","no","xpyriment","legacy","legacy","0","204","NA","uniform","66414","1000","0.0150570662812","1","undefined","1","0","2","2","2","0","2","2","2","NA","2","2","0","2","NA","2","2","0","2","NA","2","NA","2","0","0","2","2","0","2","2","3","z","02/01/18 15:27:24","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","2","2","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-123.csv","xpyriment","Jazzy James","3.1.4","0","z","NA","NA","NA","NA","return","z","768","NA","NA","NA","NA","242242","768","2","legacy","1024","2","48000","-16","BA_m21","123","odd","NW_L_COMP","SHEETEL","1386","254498","251373","252989","243636","NA","NA","NA","NA","252980","251870","NA","250873","NA","250863","252980","1394","254798","NA","NA","251989","1386","1386","252381","250863","1386","251989","254798","morph21_Oliver/Morris","1","2753","3","yes","1280","5"
"250","25","25","833","833","black","no","xpyriment","legacy","legacy","0","206","NA","uniform","71152","1000","0.0140544187092","0","undefined","0","0","3","3","3","0","3","3","3","NA","3","3","0","3","NA","3","3","0","3","NA","3","NA","3","0","0","3","3","0","3","3","4","z","02/01/18 15:27:24","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","3","3","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-123.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","return","/","579","NA","NA","NA","NA","242242","579","2","legacy","1024","2","48000","-16","BA_m21","123","odd","NW_L_SIMP","BEARIST","1386","257665","256065","252989","243636","NA","NA","NA","NA","252980","256562","NA","255565","NA","255559","257661","1394","257915","NA","NA","256665","1386","1386","257065","255559","1386","256665","257915","morph21_Oliver/Morris","1","3332","4","yes","1280","25"
"300","40","40","799.4","799.4","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","72069","1000","0.0138755914471","1","undefined","1","0","4","4","4","0","4","4","4","NA","4","4","0","4","NA","4","4","0","4","NA","4","NA","4","0","0","4","4","0","4","4","5","/","02/01/18 15:27:24","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","4","4","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-123.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","return","/","665","NA","NA","NA","NA","242242","665","2","legacy","1024","2","48000","-16","BA_m21","123","odd","CW_S","DESTROYER","1386","260723","259131","252989","243636","NA","NA","NA","NA","260715","259628","NA","258631","NA","258622","260715","1394","261023","NA","NA","259723","1386","1386","260115","258622","1386","259723","261023","morph21_Oliver/Morris","2","3997","5","yes","1280","14"
"400","50","50","793.166666667","793.166666667","black","no","xpyriment","legacy","legacy","0","204","NA","uniform","72076","1000","0.0138742438537","1","undefined","1","0","5","5","5","0","5","5","5","NA","5","5","0","5","NA","5","5","0","5","NA","5","NA","5","0","0","5","5","0","5","5","6","z","02/01/18 15:27:24","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","5","5","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-123.csv","xpyriment","Jazzy James","3.1.4","0","z","NA","NA","NA","NA","return","z","762","NA","NA","NA","NA","242242","762","2","legacy","1024","2","48000","-16","BA_m21","123","odd","NW_L_COMP","ANGELITH","1386","265408","262307","263899","243636","NA","NA","NA","NA","263895","262805","NA","261806","NA","261799","263895","1394","265808","NA","NA","262899","1386","1386","263299","261799","1386","262899","265808","morph21_Oliver/Morris","3","4759","6","yes","1280","7"
"250","57.1428571429","57.1428571429","759.285714286","759.285714286","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","70783","1000","0.0141276860263","1","undefined","1","0","6","6","6","0","6","6","6","NA","6","6","0","6","NA","6","6","0","6","NA","6","NA","6","0","0","6","6","0","6","6","7","/","02/01/18 15:27:24","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","6","6","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-123.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","return","/","556","NA","NA","NA","NA","242242","556","2","legacy","1024","2","48000","-16","BA_m21","123","odd","CW_L","PUSHER","1386","268641","267049","263899","243636","NA","NA","NA","NA","268634","267546","NA","266549","NA","266542","268634","1394","268891","NA","NA","267641","1386","1386","268033","266542","1386","267641","268891","morph21_Oliver/Morris","4","5315","7","yes","1280","13"
"250","62.5","62.5","715.25","715.25","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","84824","1000","0.0117891162878","1","undefined","1","0","7","7","7","0","7","7","7","NA","7","7","0","7","NA","7","7","0","7","NA","7","NA","7","0","0","7","7","0","7","7","8","/","02/01/18 15:27:24","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","7","7","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-123.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","return","/","407","NA","NA","NA","NA","242242","407","2","legacy","1024","2","48000","-16","BA_m21","123","odd","FILL_W","SLIM","1386","271766","270175","263899","243636","NA","NA","NA","NA","271757","270672","NA","269674","NA","269668","271757","1394","272016","NA","NA","270766","1386","1386","271158","269668","1386","270766","272016","morph21_Oliver/Morris","5","5722","8","yes","1280","6"
"200","55.5555555556","55.5555555556","686","686","black","no","xpyriment","legacy","legacy","0","205","NA","uniform","74872","1000","0.0133561277914","0","undefined","0","0","8","8","8","0","8","8","8","NA","8","8","0","8","NA","8","8","0","8","NA","8","NA","8","0","0","8","8","0","8","8","9","z","02/01/18 15:27:24","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","8","8","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-123.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","return","/","452","NA","NA","NA","NA","242242","452","2","legacy","1024","2","48000","-16","BA_m21","123","odd","NW_S_SIMP","OPPOSEMENT","1386","276316","273200","274808","243636","NA","NA","NA","NA","271757","273697","NA","272700","NA","272693","274804","1394","276517","NA","NA","273808","1386","1386","274208","272693","1386","273808","276517","morph21_Oliver/Morris","5","6174","9","yes","1280","8"
"350","60","60","653.8","653.8","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","81355","1000","0.0122918075103","1","undefined","1","0","9","9","9","0","9","9","9","NA","9","9","0","9","NA","9","9","0","9","NA","9","NA","9","0","0","9","9","0","9","9","10","/","02/01/18 15:27:24","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","9","9","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-123.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","return","/","364","NA","NA","NA","NA","242242","364","2","legacy","1024","2","48000","-16","BA_m21","123","odd","CW_S","BOSSY","1386","279400","277791","274808","243636","NA","NA","NA","NA","279395","278289","NA","277291","NA","277282","279395","1394","279750","NA","NA","278400","1386","1386","278800","277282","1386","278400","279750","morph21_Oliver/Morris","6","6538","10","yes","1280","49"
