"ITI","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_trig","condtrigtime","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_instructions_1","correct_new_keyboard_response_1","count_AB_m21","count_ITI","count_blank_screen","count_blink_screen","count_block1","count_break1","count_break2","count_break3_1","count_canvas","count_correct_trigger","count_def_chain","count_end_screen","count_fixation_1","count_getting_started","count_inc_counter","count_incorrect_trigger","count_instructions_1","count_logger","count_logscript","count_new_coroutines","count_new_inline_script","count_new_keyboard_response_1","count_reset_counter_prep","count_reset_counter_run","count_responsescreen","count_sequence","count_start_trigger","count_target_present","count_word_trigger","counter","cresp","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break1","response_break2","response_break3_1","response_end_screen","response_instructions_1","response_new_keyboard_response_1","response_time","response_time_break1","response_time_break2","response_time_break3_1","response_time_end_screen","response_time_instructions_1","response_time_new_keyboard_response_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","targ_type","target","time_AB_m21","time_ITI","time_blank_screen","time_blink_screen","time_block1","time_break1","time_break2","time_break3_1","time_canvas","time_correct_trigger","time_def_chain","time_end_screen","time_fixation_1","time_getting_started","time_inc_counter","time_incorrect_trigger","time_instructions_1","time_logger","time_logscript","time_new_inline_script","time_new_keyboard_response_1","time_reset_counter_prep","time_reset_counter_run","time_responsescreen","time_sequence","time_start_trigger","time_target_present","time_word_trigger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_trig"
"200","0","0","924","924","black","no","xpyriment","legacy","legacy","0","203","NA","uniform","49546","1000","0.0201832640375","0","undefined","0","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","0","0","0","0","NA","0","NA","0","0","0","0","0","0","0","0","1","z","02/05/19 12:24:24","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","0","0","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-158.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","None","NA","NA","NA","NA","space","None","924","NA","NA","NA","NA","2040285","924","2","legacy","1024","2","48000","-16","AB_m21","0","even","NW_S_COMP","PILLIZE","1841","2044829","2043179","NA","2042141","NA","NA","NA","NA","NA","2043676","NA","2042679","NA","2042673","2044824","1855","2045030","NA","NA","2043900","1841","1841","2044221","2042673","1841","2043900","2045030","morph21_Oliver/Morris","0","924","1","yes","1280","13"
"250","0","0","959.5","959.5","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","55011","1000","0.0181781825453","0","undefined","0","0","1","1","1","0","1","1","1","NA","1","1","0","1","NA","1","1","0","1","NA","1","NA","1","0","0","1","1","0","1","1","2","/","02/05/19 12:24:24","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","1","1","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-158.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","None","NA","NA","NA","NA","space","None","995","NA","NA","NA","NA","2040285","995","2","legacy","1024","2","48000","-16","AB_m21","0","even","FILL_W","WEAVE","1841","2048013","2046305","NA","2042141","NA","NA","NA","NA","NA","2046802","NA","2045805","NA","2045795","2048009","1855","2048263","NA","NA","2047013","1841","1841","2047413","2045795","1841","2047013","2048263","morph21_Oliver/Morris","0","1919","2","yes","1280","12"
"200","33.3333333333","33.3333333333","938.333333333","938.333333333","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","50971","1000","0.0196189990387","1","undefined","1","0","2","2","2","0","2","2","2","NA","2","2","0","2","NA","2","2","0","2","NA","2","NA","2","0","0","2","2","0","2","2","3","/","02/05/19 12:24:24","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","2","2","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-158.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","896","NA","NA","NA","NA","2040285","896","2","legacy","1024","2","48000","-16","AB_m21","0","even","FILL_W","BLEAK","1841","2052497","2049313","2050988","2042141","NA","NA","NA","NA","2050984","2049810","NA","2048813","NA","2048809","2050984","1855","2052697","NA","NA","2049988","1841","1841","2050388","2048809","1841","2049988","2052697","morph21_Oliver/Morris","1","2815","3","yes","1280","5"
"250","25","25","915","915","black","no","xpyriment","legacy","legacy","0","203","NA","uniform","54137","1000","0.018471655245","0","undefined","0","0","3","3","3","0","3","3","3","NA","3","3","0","3","NA","3","3","0","3","NA","3","NA","3","0","0","3","3","0","3","3","4","z","02/05/19 12:24:24","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","3","3","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-158.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","845","NA","NA","NA","NA","2040285","845","2","legacy","1024","2","48000","-16","AB_m21","0","even","NW_S_COMP","TREASONIZE","1841","2055455","2053772","2050988","2042141","NA","NA","NA","NA","2050984","2054269","NA","2053272","NA","2053263","2055451","1855","2055705","NA","NA","2054463","1841","1841","2054855","2053263","1841","2054463","2055705","morph21_Oliver/Morris","1","3660","4","yes","1280","14"
"300","40","40","857.2","857.2","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","64719","1000","0.0154514130317","1","undefined","1","0","4","4","4","0","4","4","4","NA","4","4","0","4","NA","4","4","0","4","NA","4","NA","4","0","0","4","4","0","4","4","5","/","02/05/19 12:24:24","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","4","4","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-158.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","626","NA","NA","NA","NA","2040285","626","2","legacy","1024","2","48000","-16","AB_m21","0","even","FILL_W","IRON","1841","2058522","2056780","2050988","2042141","NA","NA","NA","NA","2058512","2057277","NA","2056280","NA","2056270","2058512","1855","2058822","NA","NA","2057522","1841","1841","2057913","2056270","1841","2057522","2058822","morph21_Oliver/Morris","2","4286","5","yes","1280","33"
"350","33.3333333333","33.3333333333","880.333333333","880.333333333","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","48771","1000","0.0205039880257","0","undefined","0","0","5","5","5","0","5","5","5","NA","5","5","0","5","NA","5","5","0","5","NA","5","NA","5","0","0","5","5","0","5","5","6","/","02/05/19 12:24:24","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","5","5","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-158.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","None","NA","NA","NA","NA","space","None","996","NA","NA","NA","NA","2040285","996","2","legacy","1024","2","48000","-16","AB_m21","0","even","CW_S","RICHNESS","1841","2063206","2059990","2061698","2042141","NA","NA","NA","NA","2058512","2060487","NA","2059489","NA","2059479","2061694","1855","2063557","NA","NA","2060698","1841","1841","2061098","2059479","1841","2060698","2063557","morph21_Oliver/Morris","2","5282","6","yes","1280","45"
"250","28.5714285714","28.5714285714","896.571428571","896.571428571","black","no","xpyriment","legacy","legacy","0","206","NA","uniform","55577","1000","0.0179930546809","0","undefined","0","0","6","6","6","0","6","6","6","NA","6","6","0","6","NA","6","6","0","6","NA","6","NA","6","0","0","6","6","0","6","6","7","z","02/05/19 12:24:24","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","6","6","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-158.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","None","NA","NA","NA","NA","space","None","994","NA","NA","NA","NA","2040285","994","2","legacy","1024","2","48000","-16","AB_m21","0","even","NW_L_SIMP","BEARILT","1841","2066340","2064648","2061698","2042141","NA","NA","NA","NA","2058512","2065145","NA","2064148","NA","2064144","2066334","1855","2066590","NA","NA","2065340","1841","1841","2065731","2064144","1841","2065340","2066590","morph21_Oliver/Morris","2","6276","7","yes","1280","25"
"400","37.5","37.5","869.5","869.5","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","64070","1000","0.0156079288278","1","undefined","1","0","7","7","7","0","7","7","7","NA","7","7","0","7","NA","7","7","0","7","NA","7","NA","7","0","0","7","7","0","7","7","8","/","02/05/19 12:24:24","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","7","7","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-158.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","680","NA","NA","NA","NA","2040285","680","2","legacy","1024","2","48000","-16","AB_m21","0","even","FILL_W","QUIT","1841","2069323","2067640","2061698","2042141","NA","NA","NA","NA","2069320","2068137","NA","2067140","NA","2067129","2069320","1855","2069723","NA","NA","2068332","1841","1841","2068723","2067129","1841","2068332","2069723","morph21_Oliver/Morris","3","6956","8","yes","1280","21"
"300","33.3333333333","33.3333333333","883.444444444","883.444444444","black","no","xpyriment","legacy","legacy","0","204","NA","uniform","52483","1000","0.0190537888459","0","undefined","0","0","8","8","8","0","8","8","8","NA","8","8","0","8","NA","8","8","0","8","NA","8","NA","8","0","0","8","8","0","8","8","9","z","02/05/19 12:24:24","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","8","8","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-158.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","None","NA","NA","NA","NA","space","None","995","NA","NA","NA","NA","2040285","995","2","legacy","1024","2","48000","-16","AB_m21","0","even","NW_L_COMP","ADDMENT","1841","2074073","2070915","2072565","2042141","NA","NA","NA","NA","2069320","2071412","NA","2070415","NA","2070404","2072561","1855","2074374","NA","NA","2071565","1841","1841","2071965","2070404","1841","2071565","2074374","morph21_Oliver/Morris","3","7951","9","yes","1280","13"
"300","30","30","894.7","894.7","black","no","xpyriment","legacy","legacy","0","204","NA","uniform","55169","1000","0.0181261215538","0","undefined","0","0","9","9","9","0","9","9","9","NA","9","9","0","9","NA","9","9","0","9","NA","9","NA","9","0","0","9","9","0","9","9","10","z","02/05/19 12:24:24","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","9","9","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-158.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","None","NA","NA","NA","NA","space","None","996","NA","NA","NA","NA","2040285","996","2","legacy","1024","2","48000","-16","AB_m21","0","even","NW_L_COMP","KINGISM","1841","2077191","2075540","2072565","2042141","NA","NA","NA","NA","2069320","2076037","NA","2075040","NA","2075032","2077186","1855","2077491","NA","NA","2076190","1841","1841","2076590","2075032","1841","2076190","2077491","morph21_Oliver/Morris","3","8947","10","yes","1280","19"
