SubjID,ART,Spelling,Vocabulary,Sex
201,5,68,37,Female
202,9,65,32,Female
203,8,70,42,Female
204,10,73,38,Male
205,3,62,33,Male
206,9,64,42,Female
207,6,67,21,Female
208,12,69,44,Male
209,9,59,36,Male
210,2,57,30,Female
211,3,62,32,Female
212,-3,56,19,Female
213,1,50,26,Female
214,5,57,43,Male
215,2,55,37,Male
216,8,60,34,Female
217,2,67,34,Male
218,10,63,24,Male
219,8,73,37,Female
220,2,62,30,Male
221,3,66,27,Female
222,15,67,41,Male
223,4,57,29,Female
224,4,63,29,Female
225,2,59,23,Female
226,8,63,31,Female
227,-7,54,17,Female
228,6,58,25,Female
229,2,53,29,Female
230,4,61,34,Female
231,4,61,25,Female
232,2,61,27,Male
233,11,62,33,Male
234,4,52,29,Male
235,6,57,38,Male
236,9,68,41,Male
237,8,64,36,Female
238,0,47,28,Female
239,10,55,27,Male
240,10,60,34,Female
241,9,65,37,Female
242,5,64,32,Male
243,5,53,25,Female
244,3,61,28,Male
245,5,55,28,Female
