"","subject_nr","target","response_time","famsize","LogBf"
"1",101,"magical",995,"S",6.92
"2",101,"singer",544,"S",7.69
"3",101,"cooling",810,"L",7.27
"4",101,"madness",925,"L",7.17
"5",101,"renter",536,"L",7.43
"6",101,"parking",525,"L",7.57
"7",101,"design",779,"S",8.1
"8",101,"campaigner",683,"S",7.6
"9",101,"jailer",598,"S",6.52
"10",101,"faithful",481,"L",7.19
"11",101,"doubtful",527,"L",8.33
"12",101,"dancer",993,"L",7.6
"13",101,"widowed",672,"S",6.21
"14",101,"dietary",556,"S",7.07
"15",101,"cleaner",664,"L",7.96
"16",101,"conductor",556,"L",6.99
"17",101,"deafness",598,"L",5.67
"18",101,"speller",586,"L",6.66
"19",101,"costly",613,"S",8.35
"20",101,"seeker",619,"S",7.68
"21",101,"amazement",547,"S",6.78
"22",101,"toaster",548,"S",5.83
"23",101,"painter",459,"L",8.21
"24",101,"excitement",562,"L",7.56
"25",101,"tossing",472,"S",6.01
"26",101,"detectable",782,"S",6.89
"27",101,"laughing",549,"L",8.34
"28",101,"grimly",551,"S",6.31
"29",101,"shapely",619,"L",7.55
"30",101,"amusement",544,"S",6.75
"31",101,"creamy",562,"L",6.67
"32",101,"verbal",587,"L",6.05
"33",101,"chilly",337,"S",6.19
"34",101,"striker",588,"L",8.14
"35",101,"attacker",490,"S",8.13
"36",101,"effortless",534,"S",7.81
"37",101,"locally",494,"S",8.41
"38",101,"boneless",558,"L",7.31
"39",101,"composer",471,"L",7.08
"40",101,"blindness",605,"L",6.93
"41",101,"destroyer",435,"S",7.55
"42",101,"strangeness",438,"S",7.98
"43",101,"pusher",402,"L",7.83
"44",101,"thruster",456,"S",6.37
"45",101,"listener",471,"S",8.03
"46",101,"harmless",520,"S",7
"47",101,"buyer",445,"S",8.39
"48",101,"risky",524,"S",7.51
"49",101,"avoidable",546,"S",7.68
"50",101,"tutoring",702,"S",6.212606096
"51",101,"shameful",150562,"L",6.9
"52",101,"heater",543,"L",7.97
"53",101,"hunter",888,"L",7.47
"54",101,"angelic",996,"S",6.34
"55",101,"mildness",997,"S",6.52
"56",101,"flexible",604,"L",6.5
"57",101,"cloudless",609,"L",7.07
"58",101,"noticeable",870,"S",8.14
"59",101,"jumping",620,"L",7.24
"60",101,"guilty",691,"S",7.36
"61",101,"dampish",996,"L",6.43
"62",101,"peaking",818,"S",6.3
"63",101,"editor",551,"L",7.17
"64",101,"raider",512,"S",6.22
"65",101,"planner",655,"S",8.61
"66",101,"bomber",457,"L",7.1
"67",101,"stylish",513,"L",7.66
"68",101,"teacher",536,"S",8.64
"69",101,"locker",435,"L",7.41
"70",101,"dullness",638,"S",6.56
"71",101,"puncher",656,"L",5.78
"72",101,"sailor",628,"L",6.61
"73",101,"barker",0,"L",5.96
"74",101,"weedy",463,"L",6.59
"75",101,"boldness",538,"S",5.94
"76",101,"richness",657,"S",7.96
"77",101,"collector",411,"L",8.08
"78",101,"dryness",417,"L",7.77
"79",101,"quietly",529,"L",7.9
"80",101,"densely",713,"S",6.48
"81",101,"bearded",418,"S",6.36
"82",101,"guarding",509,"L",7.62
"83",101,"allowance",591,"S",8.52
"84",101,"mossy",645,"S",5
"85",101,"kicking",635,"L",6.92
"86",101,"bossy",622,"S",6.31
"87",101,"insistent",728,"S",7.4
"88",101,"enjoyment",465,"S",7.93
"89",101,"guileless",620,"L",4.11
"90",101,"awareness",540,"S",7.78
"91",101,"wrongly",583,"L",8.17
"92",101,"bootless",563,"L",6.85
"93",101,"knocker",454,"L",7.01
"94",101,"swimmer",663,"L",7.04
"95",101,"feeder",533,"L",7.94
"96",101,"lender",661,"S",6.22
"97",101,"hugely",987,"S",7.56
"98",101,"professor",717,"L",8.18
"99",101,"neatly",704,"S",6.83
"100",101,"dreamer",852,"L",7.75
"101",103,"harmless",555,"S",7
"102",103,"neatly",506,"S",6.83
"103",103,"puncher",653,"L",5.78
"104",103,"seeker",750,"S",7.68
"105",103,"thruster",761,"S",6.37
"106",103,"flexible",570,"L",6.5
"107",103,"awareness",733,"S",7.78
"108",103,"boldness",645,"S",5.94
"109",103,"boneless",762,"L",7.31
"110",103,"amusement",811,"S",6.75
"111",103,"hugely",693,"S",7.56
"112",103,"singer",727,"S",7.69
"113",103,"detectable",753,"S",6.89
"114",103,"swimmer",708,"L",7.04
"115",103,"knocker",791,"L",7.01
"116",103,"pusher",458,"L",7.83
"117",103,"tutoring",537,"S",6.212606096
"118",103,"allowance",599,"S",8.52
"119",103,"peaking",522,"S",6.3
"120",103,"bomber",710,"L",7.1
"121",103,"feeder",501,"L",7.94
"122",103,"shameful",539,"L",6.9
"123",103,"guarding",90820,"L",7.62
"124",103,"locker",378,"L",7.41
"125",103,"avoidable",613,"S",7.68
"126",103,"jumping",603,"L",7.24
"127",103,"widowed",559,"S",6.21
"128",103,"dreamer",455,"L",7.75
"129",103,"renter",544,"L",7.43
"130",103,"campaigner",607,"S",7.6
"131",103,"insistent",767,"S",7.4
"132",103,"dampish",757,"L",6.43
"133",103,"faithful",490,"L",7.19
"134",103,"conductor",472,"L",6.99
"135",103,"verbal",612,"L",6.05
"136",103,"grimly",599,"S",6.31
"137",103,"toaster",855,"S",5.83
"138",103,"strangeness",495,"S",7.98
"139",103,"creamy",518,"L",6.67
"140",103,"hunter",401,"L",7.47
"141",103,"angelic",729,"S",6.34
"142",103,"barker",736,"L",5.96
"143",103,"bootless",517,"L",6.85
"144",103,"mildness",631,"S",6.52
"145",103,"speller",667,"L",6.66
"146",103,"dietary",690,"S",7.07
"147",103,"bearded",511,"S",6.36
"148",103,"doubtful",711,"L",8.33
"149",103,"collector",725,"L",8.08
"150",103,"deafness",980,"L",5.67
"151",103,"composer",501,"L",7.08
"152",103,"striker",994,"L",8.14
"153",103,"heater",995,"L",7.97
"154",103,"cooling",996,"L",7.27
"155",103,"stylish",993,"L",7.66
"156",103,"shapely",995,"L",7.55
"157",103,"painter",994,"L",8.21
"158",103,"blindness",995,"L",6.93
"159",103,"risky",996,"S",7.51
"160",103,"attacker",992,"S",8.13
"161",103,"dullness",996,"S",6.56
"162",103,"lender",881,"S",6.22
"163",103,"richness",991,"S",7.96
"164",103,"dryness",994,"L",7.77
"165",103,"effortless",993,"S",7.81
"166",103,"weedy",995,"L",6.59
"167",103,"laughing",994,"L",8.34
"168",103,"densely",992,"S",6.48
"169",103,"tossing",996,"S",6.01
"170",103,"excitement",993,"L",7.56
"171",103,"cleaner",995,"L",7.96
"172",103,"enjoyment",988,"S",7.93
"173",103,"professor",995,"L",8.18
"174",103,"mossy",994,"S",5
"175",103,"madness",654,"L",7.17
"176",103,"parking",495,"L",7.57
"177",103,"wrongly",794,"L",8.17
"178",103,"editor",604,"L",7.17
"179",103,"design",844,"S",8.1
"180",103,"amazement",612,"S",6.78
"181",103,"bossy",554,"S",6.31
"182",103,"buyer",736,"S",8.39
"183",103,"jailer",706,"S",6.52
"184",103,"teacher",696,"S",8.64
"185",103,"costly",707,"S",8.35
"186",103,"chilly",681,"S",6.19
"187",103,"noticeable",804,"S",8.14
"188",103,"sailor",745,"L",6.61
"189",103,"kicking",726,"L",6.92
"190",103,"planner",606,"S",8.61
"191",103,"destroyer",413,"S",7.55
"192",103,"quietly",478,"L",7.9
"193",103,"guilty",684,"S",7.36
"194",103,"dancer",660,"L",7.6
"195",103,"magical",612,"S",6.92
"196",103,"guileless",804,"L",4.11
"197",103,"locally",560,"S",8.41
"198",103,"cloudless",901,"L",7.07
"199",103,"listener",490,"S",8.03
"200",103,"raider",575,"S",6.22
"201",104,"locker",502,"L",7.41
"202",104,"guarding",566,"L",7.62
"203",104,"neatly",481,"S",6.83
"204",104,"quietly",530,"L",7.9
"205",104,"chilly",524,"S",6.19
"206",104,"hugely",932,"S",7.56
"207",104,"bossy",485,"S",6.31
"208",104,"shameful",614,"L",6.9
"209",104,"painter",510,"L",8.21
"210",104,"cleaner",580,"L",7.96
"211",104,"peaking",694,"S",6.3
