SubjID,nw_target,nw_response_time,nw_famsize,simp_comp,nw_LogBf
101,pillize,990,S,COMP,6.29
101,aidig,996,S,SIMP,7.06
101,angelish,737,L,COMP,6.48
101,freeness,996,L,COMP,8.89
101,northize,838,L,COMP,7.84
101,treasonize,719,S,COMP,4.93
101,brancher,883,S,COMP,7.43
101,lidary,736,S,COMP,6.26
101,earilt,993,L,SIMP,2.77
101,ripence,706,L,COMP,6.15
101,advertisela,757,S,SIMP,1.56
101,pickenge,863,L,SIMP,8.13
101,illist,694,L,COMP,7.77
101,pitchory,996,L,COMP,6.41
101,tiltady,697,S,SIMP,5.79
101,rampime,616,S,SIMP,4.55
101,digody,759,S,SIMP,6.66
101,growilt,479,L,SIMP,9.05
101,beanith,994,L,SIMP,6.05
101,bearilt,993,L,SIMP,7.87
101,weldic,993,S,COMP,4.86
101,bogady,653,L,SIMP,5.56
101,validel,970,L,SIMP,6.43
101,gumfil,772,S,SIMP,4.04
101,dressody,904,L,SIMP,8.26
101,warnody,719,S,SIMP,7.44
101,boltoes,616,S,SIMP,5.85
101,boilous,51644,L,COMP,7
101,fellowous,991,L,COMP,7.19
101,tripary,960,L,COMP,7.23
101,nullith,661,S,SIMP,3.81
101,flitence,992,L,COMP,6.4
101,longnels,627,L,SIMP,9.86
101,bloodel,518,L,SIMP,8.29
101,antism,671,S,COMP,5.33
101,habitig,815,L,SIMP,7.63
101,bindic,641,L,COMP,6.11
101,addment,993,L,COMP,8.68
101,taxfil,980,L,SIMP,7.92
101,urnilt,578,S,SIMP,4.22
101,kingism,687,L,COMP,7.73
101,wigith,708,L,SIMP,5.57
101,coldity,543,L,COMP,8.18
101,flipory,834,L,COMP,5.21
101,fanful,789,S,COMP,6.16
101,agreely,630,L,COMP,8.46
101,happenance,664,S,COMP,8.85
101,criticange,917,L,SIMP,7.91
101,classoes,920,L,SIMP,8.73
101,acremant,814,S,SIMP,6.56
101,stirance,988,L,COMP,6.73
101,elbowilm,604,L,SIMP,7.47
101,zoomfil,993,S,SIMP,3.53
101,passment,557,L,COMP,9.21
101,breakity,687,L,COMP,8.76
101,humidous,613,S,COMP,4.52
101,trueness,569,S,COMP,NA
101,schemenels,599,S,SIMP,7.39
101,socketel,988,S,SIMP,4.96
101,thrillange,990,S,SIMP,5.73
101,figer,775,S,COMP,5.28
101,nutla,993,L,SIMP,6.85
101,helmetoes,776,S,SIMP,5.49
101,prayange,994,L,SIMP,6.96
101,meltance,725,S,COMP,6.06
101,fiendism,953,S,COMP,3.97
101,nextnels,996,S,SIMP,8.91
101,curtity,994,S,COMP,4.48
101,dumbity,994,S,COMP,5.5
101,begenge,993,L,SIMP,6.4
101,mouthize,599,L,COMP,7.96
101,witchith,870,L,SIMP,6.79
101,adoptish,714,S,COMP,7.09
101,princement,984,S,COMP,6.81
101,jawla,649,S,SIMP,6.03
101,aridism,989,S,COMP,4.61
101,pooridy,987,L,SIMP,8.38
101,employness,839,L,COMP,8.44
101,baskody,543,S,SIMP,4.22
101,sheeter,654,L,COMP,6.92
101,heirig,995,S,SIMP,5.35
101,ejectence,759,S,COMP,4.19
101,feverime,675,S,SIMP,6.39
101,yankory,812,S,COMP,3.93
101,inkism,994,L,COMP,5.67
101,heightence,995,S,COMP,6.82
101,yieldilt,875,S,SIMP,6.42
101,medicalady,994,S,SIMP,7.19
101,debtish,989,S,COMP,6.49
101,gasful,562,L,COMP,7.31
101,altaric,990,S,COMP,6
101,elmist,870,S,COMP,5.16
101,mudly,758,L,COMP,6.82
101,towerla,687,L,SIMP,7.07
101,winkidy,935,S,SIMP,5.38
101,shootmant,699,L,SIMP,7.51
101,beerer,992,S,COMP,6.75
101,opposemant,671,S,SIMP,6.9
101,smoothfil,988,L,SIMP,6.95
101,bandady,994,L,SIMP,6.89
103,baskory,996,S,SIMP,4.22
103,mouthime,519,L,COMP,7.96
103,advertisely,513,S,SIMP,1.56
103,curtidy,730,S,COMP,4.48
103,stirange,862,L,COMP,6.73
