"ITI","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_trig","condtrigtime","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_instructions_1","correct_new_keyboard_response_1","count_AB_m21","count_ITI","count_blank_screen","count_blink_screen","count_block1","count_break1","count_break2","count_break3_1","count_canvas","count_correct_trigger","count_def_chain","count_end_screen","count_fixation_1","count_getting_started","count_inc_counter","count_incorrect_trigger","count_instructions_1","count_logger","count_logscript","count_new_coroutines","count_new_inline_script","count_new_keyboard_response_1","count_reset_counter_prep","count_reset_counter_run","count_responsescreen","count_sequence","count_start_trigger","count_target_present","count_word_trigger","counter","cresp","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break1","response_break2","response_break3_1","response_end_screen","response_instructions_1","response_new_keyboard_response_1","response_time","response_time_break1","response_time_break2","response_time_break3_1","response_time_end_screen","response_time_instructions_1","response_time_new_keyboard_response_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","targ_type","target","time_AB_m21","time_ITI","time_blank_screen","time_blink_screen","time_block1","time_break1","time_break2","time_break3_1","time_canvas","time_correct_trigger","time_def_chain","time_end_screen","time_fixation_1","time_getting_started","time_inc_counter","time_incorrect_trigger","time_instructions_1","time_logger","time_logscript","time_new_inline_script","time_new_keyboard_response_1","time_reset_counter_prep","time_reset_counter_run","time_responsescreen","time_sequence","time_start_trigger","time_target_present","time_word_trigger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_trig"
"250","0","0","990","990","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","53578","1000","0.0186643771697","0","undefined","0","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","0","0","0","0","NA","0","NA","0","0","0","0","0","0","0","0","1","/","10/18/17 16:31:46","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","0","0","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-110.csv","xpyriment","Jazzy James","3.1.4","0","None","NA","NA","NA","NA","space","None","990","NA","NA","NA","NA","253756","990","2","legacy","1024","2","48000","-16","AB_m21","110","even","CW_L","CREAMY","1362","258032","256441","NA","255128","NA","NA","NA","NA","NA","256938","NA","255939","NA","255869","258022","1371","258282","NA","NA","257032","1362","1362","257424","255869","1362","257032","258282","morph21_Oliver/Morris","0","990","1","yes","1280","49"
"300","50","50","885","885","black","no","xpyriment","legacy","legacy","0","206","NA","uniform","60619","1000","0.0164964780019","1","undefined","1","0","1","1","1","0","1","1","1","NA","1","1","0","1","NA","1","1","0","1","NA","1","NA","1","0","0","1","1","0","1","1","2","z","10/18/17 16:31:46","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","1","1","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-110.csv","xpyriment","Jazzy James","3.1.4","0","z","NA","NA","NA","NA","space","z","780","NA","NA","NA","NA","253756","780","2","legacy","1024","2","48000","-16","AB_m21","110","even","NW_L_SIMP","ELBOWILM","1362","261107","259507","NA","255128","NA","NA","NA","NA","261103","260004","NA","259007","NA","258998","261103","1371","261407","NA","NA","260107","1362","1362","260507","258998","1362","260107","261407","morph21_Oliver/Morris","1","1770","2","yes","1280","10"
"350","66.6666666667","66.6666666667","909.333333333","909.333333333","black","no","xpyriment","legacy","legacy","0","204","NA","uniform","54135","1000","0.0184723376743","1","undefined","1","0","2","2","2","0","2","2","2","NA","2","2","0","2","NA","2","2","0","2","NA","2","NA","2","0","0","2","2","0","2","2","3","z","10/18/17 16:31:46","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","2","2","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-110.csv","xpyriment","Jazzy James","3.1.4","0","z","NA","NA","NA","NA","space","z","958","NA","NA","NA","NA","253756","958","2","legacy","1024","2","48000","-16","AB_m21","110","even","NW_L_COMP","MOUTHIZE","1362","265724","262591","264216","255128","NA","NA","NA","NA","264206","263088","NA","262091","NA","262084","264206","1371","266074","NA","NA","263216","1362","1362","263607","262084","1362","263216","266074","morph21_Oliver/Morris","2","2728","3","yes","1280","11"
"250","50","50","930.75","930.75","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","58737","1000","0.0170250438395","0","undefined","0","0","3","3","3","0","3","3","3","NA","3","3","0","3","NA","3","3","0","3","NA","3","NA","3","0","0","3","3","0","3","3","4","/","10/18/17 16:31:46","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","3","3","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-110.csv","xpyriment","Jazzy James","3.1.4","0","None","NA","NA","NA","NA","space","None","995","NA","NA","NA","NA","253756","995","2","legacy","1024","2","48000","-16","AB_m21","110","even","FILL_W","SPLICE","1362","268959","267342","264216","255128","NA","NA","NA","NA","264206","267839","NA","266842","NA","266837","268954","1371","269209","NA","NA","267959","1362","1362","268359","266837","1362","267959","269209","morph21_Oliver/Morris","2","3723","4","yes","1280","22"
"300","40","40","877.2","877.2","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","66615","1000","0.0150116340164","0","undefined","0","0","4","4","4","0","4","4","4","NA","4","4","0","4","NA","4","4","0","4","NA","4","NA","4","0","0","4","4","0","4","4","5","z","10/18/17 16:31:46","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","4","4","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-110.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","663","NA","NA","NA","NA","253756","663","2","legacy","1024","2","48000","-16","AB_m21","110","even","FILL_NW","TREMP","1362","271992","270409","264216","255128","NA","NA","NA","NA","264206","270906","NA","269909","NA","269903","271986","1371","272292","NA","NA","270992","1362","1362","271384","269903","1362","270992","272292","morph21_Oliver/Morris","2","4386","5","yes","1280","20"
"250","50","50","850.166666667","850.166666667","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","64274","1000","0.0155583906401","1","undefined","1","0","5","5","5","0","5","5","5","NA","5","5","0","5","NA","5","5","0","5","NA","5","NA","5","0","0","5","5","0","5","5","6","/","10/18/17 16:31:46","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","5","5","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-110.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","715","NA","NA","NA","NA","253756","715","2","legacy","1024","2","48000","-16","AB_m21","110","even","CW_S","MOSSY","1362","276592","273484","275084","255128","NA","NA","NA","NA","275078","273981","NA","272984","NA","272980","275078","1371","276843","NA","NA","274084","1362","1362","274476","272980","1362","274084","276843","morph21_Oliver/Morris","3","5101","6","yes","1280","47"
"400","57.1428571429","57.1428571429","829.571428571","829.571428571","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","62425","1000","0.0160192230677","1","undefined","1","0","6","6","6","0","6","6","6","NA","6","6","0","6","NA","6","6","0","6","NA","6","NA","6","0","0","6","6","0","6","6","7","/","10/18/17 16:31:46","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","6","6","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-110.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","706","NA","NA","NA","NA","253756","706","2","legacy","1024","2","48000","-16","AB_m21","110","even","CW_L","COOLING","1362","279684","278092","275084","255128","NA","NA","NA","NA","279678","278590","NA","277593","NA","277583","279678","1371","280084","NA","NA","278684","1362","1362","279076","277583","1362","278684","280084","morph21_Oliver/Morris","4","5807","7","yes","1280","24"
"350","62.5","62.5","812.125","812.125","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","62143","1000","0.0160919170301","1","undefined","1","0","7","7","7","0","7","7","7","NA","7","7","0","7","NA","7","7","0","7","NA","7","NA","7","0","0","7","7","0","7","7","8","/","10/18/17 16:31:46","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","7","7","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-110.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","690","NA","NA","NA","NA","253756","690","2","legacy","1024","2","48000","-16","AB_m21","110","even","CW_S","BEARDED","1362","282868","281276","275084","255128","NA","NA","NA","NA","282859","281773","NA","280776","NA","280773","282859","1371","283218","NA","NA","281868","1362","1362","282259","280773","1362","281868","283218","morph21_Oliver/Morris","5","6497","8","yes","1280","8"
"300","66.6666666667","66.6666666667","810.888888889","810.888888889","black","no","xpyriment","legacy","legacy","0","204","NA","uniform","63142","1000","0.0158373190586","1","undefined","1","0","8","8","8","0","8","8","8","NA","8","8","0","8","NA","8","8","0","8","NA","8","NA","8","0","0","8","8","0","8","8","9","z","10/18/17 16:31:46","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","8","8","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-110.csv","xpyriment","Jazzy James","3.1.4","0","z","NA","NA","NA","NA","space","z","801","NA","NA","NA","NA","253756","801","2","legacy","1024","2","48000","-16","AB_m21","110","even","NW_L_COMP","NORTHIZE","1362","287602","284494","286094","255128","NA","NA","NA","NA","286085","284991","NA","283994","NA","283987","286085","1371","287902","NA","NA","285094","1362","1362","285485","283987","1362","285094","287902","morph21_Oliver/Morris","6","7298","9","yes","1280","20"
"400","60","60","829.1","829.1","black","no","xpyriment","legacy","legacy","0","204","NA","uniform","49503","1000","0.0202007959114","0","undefined","0","0","9","9","9","0","9","9","9","NA","9","9","0","9","NA","9","9","0","9","NA","9","NA","9","0","0","9","9","0","9","9","10","z","10/18/17 16:31:46","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","9","9","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-110.csv","xpyriment","Jazzy James","3.1.4","0","None","NA","NA","NA","NA","space","None","993","NA","NA","NA","NA","253756","993","2","legacy","1024","2","48000","-16","AB_m21","110","even","NW_L_COMP","COLDITY","1362","290844","289252","286094","255128","NA","NA","NA","NA","286085","289749","NA","288752","NA","288745","290837","1371","291244","NA","NA","289844","1362","1362","290236","288745","1362","289844","291244","morph21_Oliver/Morris","6","8291","10","yes","1280","10"
