"ITI","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_trig","condtrigtime","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_instructions_1","correct_new_keyboard_response_1","count_BA_m21","count_ITI","count_blank_screen","count_blink_screen","count_block1","count_break1","count_break2","count_break3_1","count_canvas","count_correct_trigger","count_def_chain","count_end_screen","count_fixation_1","count_getting_started","count_inc_counter","count_incorrect_trigger","count_instructions_1","count_logger","count_logscript","count_new_coroutines","count_new_inline_script","count_new_keyboard_response_1","count_reset_counter_prep","count_reset_counter_run","count_responsescreen","count_sequence","count_start_trigger","count_target_present","count_word_trigger","counter","cresp","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break1","response_break2","response_break3_1","response_end_screen","response_instructions_1","response_new_keyboard_response_1","response_time","response_time_break1","response_time_break2","response_time_break3_1","response_time_end_screen","response_time_instructions_1","response_time_new_keyboard_response_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","targ_type","target","time_BA_m21","time_ITI","time_blank_screen","time_blink_screen","time_block1","time_break1","time_break2","time_break3_1","time_canvas","time_correct_trigger","time_def_chain","time_end_screen","time_fixation_1","time_getting_started","time_inc_counter","time_incorrect_trigger","time_instructions_1","time_logger","time_logscript","time_new_inline_script","time_new_keyboard_response_1","time_reset_counter_prep","time_reset_counter_run","time_responsescreen","time_sequence","time_start_trigger","time_target_present","time_word_trigger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_trig"
"200","0","0","994","994","black","no","xpyriment","legacy","legacy","0","205","NA","uniform","52877","1000","0.0189118142103","0","undefined","0","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","0","0","0","0","NA","0","NA","0","0","0","0","0","0","0","0","1","z","04/09/19 12:30:03","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","0","0","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-171.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","None","NA","NA","NA","NA","space","None","994","NA","NA","NA","NA","214855","994","2","legacy","1024","2","48000","-16","BA_m21","171","odd","NW_S_SIMP","NULLISH","2005","219757","218074","NA","216873","NA","NA","NA","NA","NA","218571","NA","217574","NA","217510","219751","2017","219957","NA","NA","218757","2006","2006","219149","217510","2006","218757","219957","morph21_Oliver/Morris","0","994","1","yes","1280","23"
"350","0","0","992.5","992.5","black","no","xpyriment","legacy","legacy","0","204","NA","uniform","53155","1000","0.0188129056533","0","undefined","0","0","1","1","1","0","1","1","1","NA","1","1","0","1","NA","1","1","0","1","NA","1","NA","1","0","0","1","1","0","1","1","2","z","04/09/19 12:30:03","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","1","1","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-171.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","None","NA","NA","NA","NA","space","None","991","NA","NA","NA","NA","214855","991","2","legacy","1024","2","48000","-16","BA_m21","171","odd","NW_L_COMP","MOUTHIME","2005","222857","221182","NA","216873","NA","NA","NA","NA","NA","221679","NA","220682","NA","220675","222848","2017","223207","NA","NA","221857","2006","2006","222249","220675","2006","221857","223207","morph21_Oliver/Morris","0","1985","2","yes","1280","11"
"400","0","0","993","993","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","54201","1000","0.0184498440988","0","undefined","0","0","2","2","2","0","2","2","2","NA","2","2","0","2","NA","2","2","0","2","NA","2","NA","2","0","0","2","2","0","2","2","3","z","04/09/19 12:30:03","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","2","2","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-171.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","None","NA","NA","NA","NA","space","None","994","NA","NA","NA","NA","214855","994","2","legacy","1024","2","48000","-16","BA_m21","171","odd","FILL_NW","BALFS","2005","227567","224408","226058","216873","NA","NA","NA","NA","NA","224905","NA","223908","NA","223901","226052","2017","227967","NA","NA","225058","2006","2006","225450","223901","2006","225058","227967","morph21_Oliver/Morris","0","2979","3","yes","1280","2"
"250","25","25","925.5","925.5","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","65137","1000","0.0153522575495","1","undefined","1","0","3","3","3","0","3","3","3","NA","3","3","0","3","NA","3","3","0","3","NA","3","NA","3","0","0","3","3","0","3","3","4","/","04/09/19 12:30:03","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","3","3","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-171.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","723","NA","NA","NA","NA","214855","723","2","legacy","1024","2","48000","-16","BA_m21","171","odd","CW_L","DEAFNESS","2005","230934","229242","226058","216873","NA","NA","NA","NA","230924","229739","NA","228734","NA","228727","230924","2017","231184","NA","NA","229934","2006","2006","230325","228727","2006","229934","231184","morph21_Oliver/Morris","1","3702","4","yes","1280","39"
"250","40","40","852","852","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","69731","1000","0.0143408240237","1","undefined","1","0","4","4","4","0","4","4","4","NA","4","4","0","4","NA","4","4","0","4","NA","4","NA","4","0","0","4","4","0","4","4","5","/","04/09/19 12:30:03","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","4","4","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-171.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","558","NA","NA","NA","NA","214855","558","2","legacy","1024","2","48000","-16","BA_m21","171","odd","FILL_W","SOFT","2005","234034","232317","226058","216873","NA","NA","NA","NA","234024","232814","NA","231817","NA","231806","234024","2017","234284","NA","NA","233034","2006","2006","233425","231806","2006","233034","234284","morph21_Oliver/Morris","2","4260","5","yes","1280","43"
"200","33.3333333333","33.3333333333","876","876","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","46683","1000","0.0214210740527","0","undefined","0","0","5","5","5","0","5","5","5","NA","5","5","0","5","NA","5","5","0","5","NA","5","NA","5","0","0","5","5","0","5","5","6","z","04/09/19 12:30:03","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","5","5","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-171.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","None","NA","NA","NA","NA","space","None","996","NA","NA","NA","NA","214855","996","2","legacy","1024","2","48000","-16","BA_m21","171","odd","FILL_NW","BLAYS","2005","238667","235484","237159","216873","NA","NA","NA","NA","234024","235981","NA","234976","NA","234971","237155","2017","238867","NA","NA","236159","2006","2006","236559","234971","2006","236159","238867","morph21_Oliver/Morris","2","5256","6","yes","1280","8"
"400","42.8571428571","42.8571428571","831.428571429","831.428571429","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","65971","1000","0.015158175562","1","undefined","1","0","6","6","6","0","6","6","6","NA","6","6","0","6","NA","6","6","0","6","NA","6","NA","6","0","0","6","6","0","6","6","7","/","04/09/19 12:30:03","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","6","6","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-171.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","564","NA","NA","NA","NA","214855","564","2","legacy","1024","2","48000","-16","BA_m21","171","odd","CW_L","FAITHFUL","2005","241710","240026","237159","216873","NA","NA","NA","NA","241700","240523","NA","239526","NA","239516","241700","2017","242110","NA","NA","240709","2006","2006","241101","239516","2006","240709","242110","morph21_Oliver/Morris","3","5820","7","yes","1280","20"
"350","37.5","37.5","851.625","851.625","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","51386","1000","0.0194605534581","0","undefined","0","0","7","7","7","0","7","7","7","NA","7","7","0","7","NA","7","7","0","7","NA","7","NA","7","0","0","7","7","0","7","7","8","z","04/09/19 12:30:03","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","7","7","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-171.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","None","NA","NA","NA","NA","space","None","993","NA","NA","NA","NA","214855","993","2","legacy","1024","2","48000","-16","BA_m21","171","odd","FILL_NW","BLANTH","2005","245060","243385","237159","216873","NA","NA","NA","NA","241700","243882","NA","242885","NA","242878","245053","2017","245410","NA","NA","244060","2006","2006","244452","242878","2006","244060","245410","morph21_Oliver/Morris","3","6813","8","yes","1280","3"
"400","44.4444444444","44.4444444444","831","831","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","58018","1000","0.0172360301975","1","undefined","1","0","8","8","8","0","8","8","8","NA","8","8","0","8","NA","8","8","0","8","NA","8","NA","8","0","0","8","8","0","8","8","9","/","04/09/19 12:30:03","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","8","8","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-171.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","666","NA","NA","NA","NA","214855","666","2","legacy","1024","2","48000","-16","BA_m21","171","odd","CW_L","STYLISH","2005","249836","246644","248327","216873","NA","NA","NA","NA","248322","247141","NA","246144","NA","246131","248322","2017","250236","NA","NA","247327","2006","2006","247727","246131","2006","247327","250236","morph21_Oliver/Morris","4","7479","9","yes","1280","29"
"250","50","50","817.6","817.6","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","63150","1000","0.0158353127474","1","undefined","1","0","9","9","9","0","9","9","9","NA","9","9","0","9","NA","9","9","0","9","NA","9","NA","9","0","0","9","9","0","9","9","10","/","04/09/19 12:30:03","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","9","9","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-171.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","697","NA","NA","NA","NA","214855","697","2","legacy","1024","2","48000","-16","BA_m21","171","odd","FILL_W","PREACH","2005","253111","251469","248327","216873","NA","NA","NA","NA","253105","251966","NA","250961","NA","250954","253105","2017","253361","NA","NA","252111","2006","2006","252502","250954","2006","252110","253361","morph21_Oliver/Morris","5","8176","10","yes","1280","7"
